iter	Passed	Remaining
685	1806	826
686	1808	824
687	1811	821
688	1813	818
689	1815	815
690	1818	813
691	1820	810
692	1822	807
693	1825	804
694	1827	801
695	1829	799
696	1832	796
697	1834	793
698	1836	790
699	1838	788
700	1841	785
701	1843	782
702	1845	779
703	1848	777
704	1850	774
705	1852	771
706	1854	768
707	1856	765
708	1859	763
709	1861	760
710	1863	757
711	1865	754
712	1868	751
713	1870	749
714	1872	746
715	1874	743
716	1876	740
717	1878	737
718	1880	735
719	1883	732
720	1885	729
721	1887	726
722	1889	724
723	1891	721
724	1894	718
725	1896	715
726	1898	712
727	1900	710
728	1902	707
729	1904	704
730	1906	701
731	1908	698
732	1911	696
733	1913	693
734	1915	690
735	1917	687
736	1920	685
737	1922	682
738	1924	679
739	1926	677
740	1929	674
741	1931	671
742	1933	668
743	1936	666
744	1938	663
745	1940	660
746	1942	658
747	1945	655
748	1947	652
749	1949	649
750	1951	647
751	1953	644
752	1956	641
753	1958	638
754	1960	636
755	1962	633
756	1964	630
757	1966	627
758	1969	625
759	1971	622
760	1973	619
761	1975	617
762	1978	614
763	1980	611
764	1982	609
765	1984	606
766	1986	603
767	1989	600
768	1991	598
769	1993	595
770	1995	592
771	1997	590
772	2000	587
773	2002	584
774	2004	581
775	2006	579
776	2008	576
777	2011	573
778	2013	571
779	2015	568
780	2017	565
781	2020	563
782	2022	560
783	2024	557
784	2027	555
785	2029	552
786	2031	549
787	2034	547
788	2036	544
789	2038	541
790	2040	539
791	2043	536
792	2045	533
793	2047	531
794	2049	528
795	2051	525
796	2054	523
797	2056	520
798	2058	517
799	2060	515
800	2062	512
801	2064	509
802	2066	507
803	2068	504
804	2070	501
805	2073	498
806	2075	496
807	2077	493
808	2079	491
809	2081	488
810	2083	485
811	2086	482
812	2088	480
813	2090	477
814	2092	474
815	2094	472
816	2096	469
817	2098	466
818	2101	464
819	2103	461
820	2105	459
821	2107	456
822	2110	453
823	2112	451
824	2114	448
825	2116	445
826	2118	443
827	2120	440
828	2123	437
829	2125	435
830	2127	432
831	2130	430
832	2132	427
833	2134	424
834	2137	422
835	2139	419
836	2141	417
837	2144	414
838	2146	411
839	2148	409
840	2151	406
841	2153	404
842	2155	401
843	2158	398
844	2160	396
845	2162	393
846	2165	391
847	2167	388
848	2169	385
849	2172	383
850	2174	380
851	2176	378
852	2178	375
853	2181	372
854	2183	370
855	2185	367
856	2188	365
857	2190	362
858	2192	359
859	2194	357
860	2196	354
861	2198	352
862	2201	349
863	2203	346
864	2205	344
865	2207	341
866	2209	338
867	2211	336
868	2213	333
869	2216	331
870	2218	328
871	2220	325
872	2222	323
873	2225	320
874	2227	318
875	2229	315
876	2232	313
877	2235	310
878	2237	307
879	2239	305
880	2242	302
881	2244	300
